8	"S. Hilarii episcopi Pictaviensis opera Pars IV"
8	"The Loeb classical library 404"
8	"The Works of Archimedes"
8	"The odes of Pindar"
8	"الزهد"
7	"Aeschyli Tragoediae"
7	"Aeschyli tragoediae"
7	"Aeschylus the seven plays in English verse"
7	"Aischylos Tragodiai"
7	"Arist.Sens."
7	"Callimachi Hymni et epigrammata."
7	"Corpusculum poesis epicae graecae ludibundae Vol I Parodorum epicorum graecorum Fasc. prior"
7	"De senectute; De amicitia; De divinatione"
7	"De sensu et sensibilibus"
7	"Ennianae poesis reliquiae"
7	"Euclidis Opera omnia Vol VI"
7	"Hymns and Epigrams"
7	"Juvenal and Persius"
7	"LCL 406"
7	"Loeb classical library 214"
7	"Lucius Annaeus Florus, Epitome of Roman history Cornelius Nepos"
7	"Pomponi Porfyrionis Commentum in Horatium Flaccum"
7	"Pomponii Porphyrionis Commentarii in Q. Horatium Flaccum"
7	"Quinti Septimi Florentis Tertulliani opera Pars III"
7	"Sancti Eucherii Lugdunensis Formulae spiritalis intellegentiae, Instructionvm libri duo, Passio agaunensium martyrum, Epistula de laude heremi Accedunt Epistulae ab Salviano et Hilario et Rustico ad Eucherium datae"
7	"Sanctii Ambrosii Opera Pars Prima"
7	"Scriptores physiognomonici graeci et latini Vol I"
7	"Scriptorum classicorum Bibliotheca Oxoniensis."
7	"Sedulii Opera omnia"
7	"Sophoclis Fabulae"
7	"Sophoclis Tragoediae"
7	"The Elegies of Albius Tibullus the Corpus Tibullianum"
7	"The Greek historians The complete and unabridged historical works of Herodotus Volume II"
7	"The Oxford book of Latin verse from the earliest fragments to the end of the Vth century A.D Carmina Duodecim Sapientum"
7	"The genuine works of Hippocrates Volume 2"
7	"The tragedies of Aeschylus literally translated"
7	"The tragedies of Æschylos a new translation with a biographical essay"
7	"The works of Epictetus His Discourses, in Four Books, the Enchiridion, and fragments"
7	"Tragedies of Aeschylus"
7	"Tragedies. English."
7	"Tragicorum graecorum fragmenta papyracea nuper reperta"
7	"ΠΕΡΙ ΑΙΣΘΗΣΕΩΣ ΚΑΙ ΑΙΣΘΗΤΩΝ"
7	"دعاء الصحيفه الكامله"
7	"معاني القرآن"
6	"Acronis et Porphyrionis Commentarii in Q. Horatium Flaccum Vol 2"
6	"Anicii Manlii Severini Boetii Philosophiae consolationis libri quinque"
6	"Archimedis opera omnia cum commentariis Eutocii Volume I"
6	"Archimedis opera omnia cum commentariis Eutocii Volume III"
6	"Aristophanes with the English translation of Benjamin Bickley Rogers Volume 2"
6	"Aristophanis Comoedias Vol II."
6	"Bibliotheca classica"
6	"Bohn's classical library"
6	"C. Sallusti Crispi Catilina, Iugurtha, orationes et epistulae excerptae de historiis"
